IP,Port,Vulnerabilities,Country,City,Domains,Hostnames,Mnt-By,Abuse Mailbox
132.72.235.254,443,,Israel,Beersheba,,,,
132.72.8.254,264,,Israel,Beersheba,,,,
132.72.181.254,264,,Israel,Tifraẖ,,,,
132.72.118.162,80,,Israel,Beersheba,,,,
132.72.118.102,443,,Israel,Beersheba,bgu.ac.il,bgu.ac.il,,
132.72.145.254,80,,Israel,Tifraẖ,,,,
132.72.179.65,264,,Israel,Tifraẖ,,,,
132.72.132.254,18264,,Israel,Tifraẖ,,,,
132.72.118.91,443,,Israel,Beersheba,bgu.ac.il,"bgu.ac.il, apps4cloud.bgu.ac.il",,
132.72.73.235,53,,Israel,Beersheba,bgu.ac.il,med.bgu.ac.il,,
132.72.116.201,443,,Israel,Beersheba,,,,
132.72.41.45,53,,Israel,Beersheba,,,,
132.72.118.160,80,,Israel,Beersheba,,,,
132.72.116.86,5001,,Israel,Beersheba,,,,
132.72.64.254,18264,,Israel,Beersheba,,,,
132.72.116.126,80,,Israel,Beersheba,,,,
132.72.118.164,443,,Israel,Beersheba,bgu.ac.il,cs.bgu.ac.il,,
132.72.199.254,264,,Israel,Beersheba,,,,
132.72.167.254,18264,,Israel,Tifraẖ,,,,
132.72.118.47,80,,Israel,Beersheba,,,,
132.72.73.234,53,,Israel,Beersheba,bgu.ac.il,medusa.bgu.ac.il,,
132.72.118.35,443,,Israel,Beersheba,bgu.ac.il,bgu.ac.il,,
132.72.174.232,18264,,Israel,Tifraẖ,,,,
132.72.124.217,80,,Israel,Beersheba,,,,
132.72.118.98,443,,Israel,Beersheba,bgu.ac.il,bgu.ac.il,,
132.72.118.113,80,,Israel,Beersheba,,,,
132.72.118.95,443,,Israel,Beersheba,,,,
132.72.60.254,264,,Israel,Beersheba,bgu.ac.il,center4.bgu.ac.il,,
132.72.23.254,264,,Israel,Beersheba,,,,
132.72.6.1,80,,Israel,Beersheba,,,,
132.72.116.77,443,"CVE-2013-0941, CVE-2013-0942, CVE-2009-2299, CVE-2013-2765, CVE-2011-1176, CVE-2011-2688, CVE-2009-0796, CVE-2007-4723, CVE-2012-4001, CVE-2013-4365, CVE-2012-3526, CVE-2012-4360",Israel,Beersheba,bgu.ac.il,stardbi.cs.bgu.ac.il,,
132.72.118.135,443,,Israel,Beersheba,bgu.ac.il,ise.bgu.ac.il,,
132.72.118.109,443,"CVE-2013-0941, CVE-2013-0942, CVE-2009-2299, CVE-2013-2765, CVE-2011-1176, CVE-2011-2688, CVE-2009-0796, CVE-2007-4723, CVE-2012-4001, CVE-2013-4365, CVE-2012-3526, CVE-2012-4360",Israel,Beersheba,bgu.ac.il,ise.bgu.ac.il,,
132.72.32.254,264,,Israel,Beersheba,,,,
132.72.40.182,2628,,Israel,Beersheba,,,,
132.72.152.71,2628,,Israel,Tifraẖ,,,,
132.72.60.57,2628,,Israel,Beersheba,,,,
